#HANDLE# O
Başkanım O
misafirperverliğiniz O
için O
teşekkür O
ederiz O
:) O

#HANDLE# O
kanki O
ben O
de O
senin O
tipini O
coh O
seviyoom O
:D O
mucuk O
kanki O

#HANDLE# O
insallah O
aykut S-PERSON
hoca O
takoz O
ziegleri S-PERSON
keserde O
ozgur O
gosterir O
kendini O
bugun O
:D O

#HANDLE# O
vallahi O
ne O
istesem O
tamam O
kızım O
hallederiz O
dedi O
yarın O
da O
one B-ORGANIZATION
direction E-ORGANIZATION
ı O
istiyorum O
dicem O
:D O

BÜYÜDÜKTE O
NE O
BOK O
OLDUK... O
BÜYÜK O
BOK O
OLDUK.....:) O
:) O
:) O

#HANDLE# O
Artık O
bilet O
var O
canım O
öyle O
kalabalık O
degik O
git O
mutlaka O
izlemelisiiin O
:) O

Çok O
eskilerden O
duyduğum,aklımdaki O
yarım O
yamalak O
şarkı O
gibisin.Şimdi O
duysam O
seni,bilmem O
eşlik O
edebilirmiyim O
ki? O

#eskisevgilimevericegimenbüyükceza O
inadına O
mutlu O
olmaktır O
bence O
. O
ama O
başaramıyorum O
kahretsin O
:D O

#HANDLE# O
soyliycek O
olan O
biziz O
de O
soyletmeleri O
lazim O
:D O
en O
az O
2-0 O
olmasi O
lazmki O
baslayalm O

"Happy O
Birthday O
Twitter" O
6 O
years O
old O
today O
:) O

Saçlarım O
miss O
gibi O
kokuyor O
ohh O
şampuanımı O
içebilirim O
.p O
:D O

#HANDLE# O
/// O
Şarap O
gibi O
kadın O
olsan O
kaç O
yazar, O
yanındaki O
adam O
turşu O
olduktan O
sonra O
:) O
♥ O
/// O

edebiyat O
çalışıyorum O
ve O
kalp O
krizi O
geçiricem O
:D O

üstümdeki O
kötü O
toprağı O
attım O
bundan O
sonra O
sıra O
bende O
dikkatle O
izleyin O
anam O
:D O

#HANDLE# O
tarifine O
nasil O
ulasalim O
:) O

EbruŞallı S-PERSON
nasıl O
da O
şişkoymuş O
yaa O
eskiden O
:D O

#HANDLE# O
Bir O
an O
böyle O
haber O
paylaşınca O
seni O
erkek O
gibi O
hissettim O
:D O

fredia B-PERSON
branstad E-PERSON
think O
I'm O
32. O
Arraigned O
:) O

Olric S-PERSON
unuttunuz, O
illuminati S-PERSON
unuttunuz, O
eski O
sevgililerinizide O
unutabilirsiniz. O
Ben O
güveniyorum O
size O
:D O

#HANDLE# O
beni O
sorma O
:D O

Aslnda O
bende O
afk O
setin O
çalisiyodum O
ama O
söylemedim O
:D O

#HANDLE# O
#HANDLE# O
Lan O
ingilizce O
özürlüsüyüm O
kahretsin O
:D O

#HANDLE# O
beni O
etiketleyememişsin O
:D O
neyse O
çok O
zuzn O
bir O
kelime O
oldu O
"etiketleyememişsin" O
:D O

#HANDLE# O
abi O
ayranci O
kurtlar O
vadisinde O
bı O
bölümde O
oynadı O
:) O

#HANDLE# O
:) O

#HANDLE# O
Bu O
seferlik O
olmadıı O
seni O
yenmeem O
yarıın O
kapışcaaaz O
:D O

#HANDLE# O
hoşgeldin O
eda S-PERSON
abla O
twittera S-ORGANIZATION
:) O

busemle S-PERSON
şarkı O
söylüyoruz O
sesim O
çok O
güzel O
süperiiiisss O

#HANDLE# O
Uuu O
anlaşıldı O
fazla O
doz O
TVS S-ORGANIZATION
almışsın. O
:) O

Ben O
her O
baahar O
asik O
olurum O
diriiriiirim O
:) O

#HANDLE# O
mantık O
0 O
bende O
:( O

nese O
yha O
bu O
kdr O
ytr O
cıkma O
zamanı O
:) O

#HANDLE# O
bekarlık O
sultanlık O
aman O
:) O

Enbe S-ORGANIZATION
Kıymetli O
Mi O
Ne O
keyifli O
şarkı O
☺☺☺☺ O

Annemle O
babamin O
almanca O
film O
izlio O
olmasi O
bana O
inceden O
bi O
msj O
mi O
yoksa O
bi O
nevi O
destek O
mi O
cozemesem O
de O
onlari O
kiniyorum. O

Adriana S-PERSON
çıkmasın O
Lima S-PERSON
girsin O
:) O

#HANDLE# O
Dertler O
derya O
olmuş O
senin O
yüzünden O
:D O
Tamam O
tamam O
fındık O
senin O
lafın O
al O
keyfine O
bak O
:) O

Şarkıcı O
Demet B-PERSON
Akalın E-PERSON
kariyerinin O
getirdiği O
stresi O
kaldıramadı. O
Önceki O
gün O
göğsünde O
kitle O
fark O
eden O
şarkıcı, O
hastaneye O
koşturdu. O

enola S-PERSON
think O
I'm O
gratuitous O
and O
ungracious O
:) O

#HANDLE# O
Yok O
artık O
ciddi O
misin O
:D O

Zaten O
biz O
öne O
geçtiğimiz O
maçlarda O
puan O
kaybediyoruz. O
alışkanlık O
oldu O
1-0 O
dan O
maç O
çevirmek O
:) O

#HANDLE# O
#HANDLE# O
#HANDLE# O
bendee O
lütfen O
yayımlayınnn O
:) O

RT O
#HANDLE# O
#HANDLE# O
Demir S-PERSON
bak O
yarın O
almancaları O
getir O
unutma O
sakın O
:D O

#HANDLE# O
sormaa O
ya O
halaa O
baslamadımm O
sıızlerle O
paylasmak O
ıstedımm O
bu O
onemlı O
meseleyı O
:) O

Her O
aşk O
ölümü O
tadacak O
:) O
#muzikicinefes O

Huaaaa O
çohk O
mutluyamm O
:D O

#HANDLE# O
Şu O
capsloğu O
kapat O
:D O

#HANDLE# O
Acikcasi O
oyle O
okumadim O
:) O

harrison B-PERSON
sovocool E-PERSON
think O
I'm O
interesting O
and O
engrossing O
:) O

#HANDLE# O
bugün O
nevruz O
ya O
okul O
yok O
zaten O
seren S-PERSON
:D O

slayt O
fln O
uğraşıyosun O
herlde O
sen O
:D O
nese O
canıms O
kolay O
gelsn O
#HANDLE# O

Gerızekalı O
çocuk O
çok O
sey O
mi O
istıyorum O
alt O
tarafı O
bır O
mesaj O
atacan O
mesajjjjjjjjj! O

anthony B-PERSON
roby E-PERSON
think O
I'm O
felicitous O
:) O

Gormemek O
ne O
kotu O
bıseymıs O
yarabbım O
:) O

#HANDLE# O
burda O
anca O
radyo O
banko O
megasite O
falan O
:) O
gelsene O
cancaazim O

#HANDLE# O
İnci B-ORGANIZATION
Sözlük E-ORGANIZATION
ziyaretine O
ne O
dersiniz O
? O
:) O

Benim O
beklediğim O
tek O
şey O
kimya O
sınavı O
hahahah O
:D O
çünkü O
sadece O
kimya O
yapabiliyorum O
:/ O

anladım O
:) O
#HANDLE# O

bayılazaaaaaaaaaaaam O
:( O

#HANDLE# O
ea O
:) O

RT O
#HANDLE# O
#HANDLE# O
ve O
#HANDLE# O
birazdan O
#HANDLE# O
- O
Uyanma O
Uyu O
zamanı O
:) O

#HANDLE# O
üst O
olur O
:) O

RT O
#HANDLE# O
#HANDLE# O
3'lü O
çektir O
bize O
o O
zaman O
:D O

SELAM O
HİLAL S-PERSON
DURUMUNU O
ÇALDIM O
:D O

#HANDLE# O
dedi O
maalesef O
:D O
onun O
dana O
selami O
var O

#HANDLE# O
evde O
kalıcaksınnn O
:) O

kendimi O
özgür O
kız O
gibi O
hissediyorum O
:) O

#HANDLE# O
2 O
maç O
cezanın O
gerekçeli O
kararına O
baktım O
: O
Kültürlü O
asil O
kanı O
dökmüşüz O
beyler.. O
çarpı O
2 O
olmuş O
yani O
iki O
maç.. O
:) O

Feyzayla S-PERSON
evimde O
sikildik O
, O
bi O
caddeye O
cikalim O
dedik O
sonunda O
icimiz O
gecmeden O
oldu O
bu O
:) O

#HANDLE# O
Günaydın O
olsun O
o O
zaman O
:) O

bir O
bimin S-ORGANIZATION
hatı O
eksikti O
artık O
o O
da O
cıkmıs O
BİMCELL S-ORGANIZATION
bim S-ORGANIZATION
uçmus O
valla O
:D O

Trab2ona S-ORGANIZATION
koyuyolar O
:D O

#HANDLE# O
başka O
birisini O
getirmeyin O
gelirken O
yanınızaa O
:D O
ben O
birazdan O
sıraya O
girerim O
alperen S-PERSON
istiyomu O
onada O
sorr O
bi O
:) O

son O
10 O
yılda O
değişmeyen O
şey O
Aziz B-PERSON
Yıldırım E-PERSON
hala O
Fener S-ORGANIZATION
diyemiyor O
:( O
Fenev O
Fenev O
Fenev.. O
ASF O

#HANDLE# O
bol O
oksijenli O
galiba O
:) O

#HANDLE# O
#HANDLE# O
neeeeyy O
ben O
aslında O
yoktum O
gelmedim O
yani O
:D O
Yoldan O
geçiyodum O
kapının O
ucundan O
uğradım O
:D O

hacerciğim O
iyi O
ki O
doğmuş O
gerçekten O
de O
:) O

#HANDLE# O
gün O
ışığı O
karpuz O
:) O

#HANDLE# O
hahaha O
:D O

Playoff O
a O
kombine O
700 O
tl O
ilgilenen O
varsa O
GS S-ORGANIZATION
( O
TTARENA S-LOCATION
) O

Gidip O
#kuzeyguney O
I O
izliyimde O
kuzey S-PERSON
gibi O
adamlarin O
sadece O
dizilerden O
ibaret O
oldugunu O
birkez O
daha O
anliyim O
:) O

#HANDLE# O
ozamn O
gorusunce O
gorusuruzzz O
byby O
:D O

Güzel O
günün O
kötü O
bitişi O
:( O

RT O
#HANDLE# O
#HANDLE# O
Karar O
sezon O
sonuna O
kaldı, O
düşme O
yok. O
MAA S-PERSON
Plitini S-PERSON
bini O
iyli O
siylimimişti. O
Kındırıldım, O
hirkis O
bini O
kındırdı. O
... O

#HANDLE# O
ammaaaa O
komiiikk O
:( O

bi O
uyuyup O
uyanayım, O
Hemen O
ders O
çalışcam O
:D O

Özgür S-PERSON
! O
:) O
#muzikicinefes O

facebookta S-ORGANIZATION
1 O
yeni O
mesaj O
olunca O
çoook O
mutlu O
oluyoruum O
:D O

sung S-PERSON
think O
I'm O
counterfeit O
:) O

Türkiye B-ORGANIZATION
Kupası E-ORGANIZATION
Trabzonspor S-ORGANIZATION
kaderi O
de O
Galatasaray S-ORGANIZATION
gibi O
olacak O
sanki O
:) O
hafta O
sonu O
berabere O
kalacaklar O
ya O
ondan O
sanırım O
:)) O

#HANDLE# O
hahaha O
bu O
iyiydi O
:D O
ama O
o O
30 O
olcaktı O

böyle O
bi O
düşüniyim O
dedimde O
1 O
yıl O
olmuş O
ya O
:( O

#HANDLE# O
F4F O
please O
:) O

#HANDLE# O
bu O
arada O
bugün O
daha O
bir O
güzel O
olmuşsun O
küpeler O
yakışmış O
:) O

Bu O
gün O
harikaydıı,aisla O
konuştuk,fotoğraf O
çekindik O
ve O
hava O
hâlâ O
güzel O
:D O
&lt;3 O

#HANDLE# O
ben O
de O
giremedim O
zaten O
:) O
Iyi O
ki O
geldin O
kafayi O
yemek O
uzereyim O

#HANDLE# O
Mrb O
fandaş:)) O

#HANDLE# O
yalan O
söylüyorsun..! O
:D O

#HANDLE# O
ikimiz O
tamamlıyoruz O
% B-PERCENT
80nini E-PERCENT
:D O

#HANDLE# O
caniim O
habibesuu O
tamam O
o O
zaman O
son O
tllerinle O
bana O
attigin O
ozur O
mesajlari O
icin O
seninle O
baristiimm O
:D O

#HANDLE# O
oldu O
mu O
massimo S-PERSON
:) O

#HANDLE# O
#HANDLE# O
bunuda O
al O
o O
zaman O
:D O
yeter O
o O
kadar O

rakipler O
her O
mac O
kalemize O
1 O
sut O
cekip O
1 O
gol O
buluyorlar. O
Gs S-ORGANIZATION
1 O
sutla O
kalir O
umarim! O

#HANDLE# O
bende O
çok O
sıkıldımm O
ireeemmm S-PERSON
napcaz O
biz O
bu O
derssleriii O
:( O
ühü O
ühü O

RT O
#HANDLE# O
Ve O
başlıyoruz.. O
Bakü S-LOCATION
yolcusu O
kalmasın!.. O
:) O

annemle O
mozaik O
kek O
yaptıık O
:D O

#HANDLE# O
Kimin O
kardeşi O
ama O
nasıl O
espiriler O
yapıyor O
aferin O
:D O

#HANDLE# O
haha O
tabiii O
:D O

Aglamak O
yigooooook O
gulmeeeek O
var O
yarinlarda O
yarinlarda O
mutlu O
gunler O
var O
:) O

Ne O
olduysa O
bana O
artık O
millet O
inanmıyo O
ya O
:) O

jamar S-PERSON
think O
I'm O
familiar O
and O
gracious O
:) O

#HANDLE# O
evett O
ya O
yaz O
bir O
gelsinn O
:D O
bu O
ara O
zaten O
müthiş O
keyifliyim O
birde O
yazlığa O
geliyim O
ohh O
değme O
keyfime O
valla O
:) O

gs S-ORGANIZATION
- O
fener S-ORGANIZATION
muhabbeti O
hep O
sıkıcı O
da O
bilmeyenlere O
uyarı; O
gs S-ORGANIZATION
liler O
2-2 O
berabere O
kalmaya O
değil O
play-offlara O
1. O
girmeyi O
garantilediklerine O
sevindi! O

#HANDLE# O
sagol O
abijim. O
#HANDLE# O
aradım O
ama O
acmadı O
:( O
Cumartesi O
için O

İmgeyle S-PERSON
playstation S-ORGANIZATION
oynamayı O
hiç O
bir O
şeye O
değişmem O
&lt;33 O
:D O

#HANDLE# O
oziii S-PERSON
demek O
o O
zaman O
oziskoma S-PERSON
ve O
takımına O
guveniyoruuz O
:D O

